user,project_name,namespace,url
holoviz,spatialpandas,spatialpandas/tests/spatialindex/test_hilbert_curve.py,https://github.com/holoviz/spatialpandas
holzschu,Carnets,Library/lib/python3.7/site-packages/pandas-0.24.2-py3.7-macosx-10.9-x86_64.egg/pandas/conftest.py,https://github.com/holzschu/Carnets
holzschu,python3_ios,extraPackages/pandas-0.24.2/pandas/util/_tester.py,https://github.com/holzschu/python3_ios
holzschu,python3_ios,extraPackages/pandas-0.24.2/pandas/conftest.py,https://github.com/holzschu/python3_ios
holzschu,python3_ios,extraPackages/pandas-0.24.2/pandas/tests/tseries/offsets/test_offsets_properties.py,https://github.com/holzschu/python3_ios
holzschu,python3_ios,extraPackages/quandl_requirements/cryptography-2.7/tests/hypothesis/test_padding.py,https://github.com/holzschu/python3_ios
holzschu,Carnets,Library/lib/python3.7/site-packages/pandas-0.24.2-py3.7-macosx-10.9-x86_64.egg/pandas/util/_tester.py,https://github.com/holzschu/Carnets
holzschu,python3_ios,extraPackages/pandas-0.24.2/pandas/tests/tseries/offsets/test_ticks.py,https://github.com/holzschu/python3_ios
holzschu,python3_ios,extraPackages/quandl_requirements/cryptography-2.7/tests/hypothesis/test_fernet.py,https://github.com/holzschu/python3_ios
hwayne,tlacli,tests/test_cfg.py,https://github.com/hwayne/tlacli
hynek,argon2-cffi,tests/test_utils.py,https://github.com/hynek/argon2-cffi
hynek,argon2-cffi,tests/test_legacy.py,https://github.com/hynek/argon2-cffi
hynek,argon2-cffi,tests/test_low_level.py,https://github.com/hynek/argon2-cffi
hypothesis,h,tests/h/security_test.py,https://github.com/hypothesis/h
hypothesis,h,tests/h/search/parser_test.py,https://github.com/hypothesis/h
hypothesis,h,tests/h/util/redirects_test.py,https://github.com/hypothesis/h
icon-project,icon-service,tests/legacy_unittest/icon_score/test_bloom.py,https://github.com/icon-project/icon-service
ics-py,ics-py,tests/contentline/__init__.py,https://github.com/ics-py/ics-py
ics-py,ics-py,tests/valuetype/text.py,https://github.com/ics-py/ics-py
icsi-berkeley,ecg_framenet,src/hypothesize_constructions.py,https://github.com/icsi-berkeley/ecg_framenet
incuna,django-orderable,orderable/tests/test_models.py,https://github.com/incuna/django-orderable
infobyte,faraday,tests/test_api_license.py,https://github.com/infobyte/faraday
infobyte,faraday,tests/test_api_hosts.py,https://github.com/infobyte/faraday
infobyte,faraday,tests/test_api_vulnerability.py,https://github.com/infobyte/faraday
ingolemo,python-lenses,tests/test_hooks.py,https://github.com/ingolemo/python-lenses
ingolemo,python-lenses,tests/test_typeclass_laws.py,https://github.com/ingolemo/python-lenses
intel,intel-extension-for-pytorch,tests/cpu/test_sparse.py,https://github.com/intel/intel-extension-for-pytorch
intel,intel-extension-for-pytorch,tests/cpu/common_utils.py,https://github.com/intel/intel-extension-for-pytorch
itamarst,eliot,eliot/tests/test_action.py,https://github.com/itamarst/eliot
itamarst,eliot,eliot/tests/test_parse.py,https://github.com/itamarst/eliot
itamarst,eliot,eliot/tests/__init__.py,https://github.com/itamarst/eliot
